sample_id,viability
1,99.7
2,100.3
9,99.8
10,100.2
17,99.4
18,100.6
25,99.9
26,100.1
33,99.7
34,100.3
40,99.9
41,100.1
48,99.7
49,100.3
56,99.9
57,100.1
65,100
66,100
73,99.9
74,100.1
81,100
82,100
89,100.1
90,99.9
97,99.7
98,100.3
104,99.9
105,100.1
110,99.7
111,100.3
117,98.8
118,101.2
125,99.9
126,99.9
127,100.1
134,100
135,100
142,99.3
143,100.7
163,100.3
164,99.7
156,100.1
165,99.9
166,100.1
173,99.9
174,100.1
181,100.5
182,99.5
189,100
190,100
197,100
198,100
205,100
206,100
213,100.3
214,99.7
221,100.1
222,99.9
229,100.1
230,99.9
237,100.5
854,99.5
244,100.5
245,99.5
252,100.5
253,99.5
280,99.8
281,100.2
265,100
266,100
272,99.4
273,100.6
284,100.3
285,99.7
292,99.8
293,100.2
300,99.8
301,100.2
308,99.4
309,100.6
315,100.3
316,99.7
323,100.1
324,99.9
331,99.4
332,100.6
339,99.7
340,100.3
347,100.3
348,99.7
355,99
356,101
362,100.4
363,99.6
370,100
371,100
378,99.9
379,100.1
386,99.8
387,100.2
394,99.8
395,100.2
402,100.6
403,99.4
410,99.8
411,100.2
418,100.1
546,99.9
425,100.3
426,99.7
433,100.8
434,99.2
441,99.8
442,100.2
449,99.6
450,100.4
457,99.8
458,100.2
465,100.5
466,99.5
473,99.9
474,100.1
481,100.2
482,99.8
489,100.1
490,99.9
497,99.4
498,100.6
505,99.4
506,100.6
513,99.8
514,100.2
521,99.8
522,100.2
529,100.2
530,99.8
537,100.1
538,99.9
548,100.5
549,99.5
556,99.8
557,100.2
564,100.1
565,99.9
568,100
569,100
576,99.3
577,100.7
583,99.5
584,100.5
591,100
592,100
599,99.5
600,100.5
606,99.9
607,100.1
614,99.5
615,100.5
622,100
623,100
630,100.2
631,99.8
638,100
639,100
646,99.9
647,100.1
654,99.8
655,100.2
662,99.8
663,100.2
670,99.8
671,100.2
678,100.2
679,99.8
686,100
687,100
694,99.8
695,100.2
702,100.2
703,99.8
710,99.5
711,100.5
718,99.9
719,100.1
726,100.1
727,99.9
734,100
735,100
742,99.9
743,100.1
750,100.1
751,99.9
758,99.7
759,100.3
766,99.9
767,100.1
774,100.2
775,99.8
782,99.4
783,100.6
790,99.9
791,100.1
798,100
799,100
806,99.5
807,100.5
814,99.5
815,100.5
822,100.3
823,99.7
830,99.1
831,100.9
838,99.5
839,100.5
846,99.6
847,100.4
877,100
876,100
860,99.9
861,100.1
868,99.8
869,100.2
879,100.2
880,99.8
887,100.1
888,99.9
895,100
896,100
903,100.2
904,99.8
911,100.5
912,99.5
919,100.2
920,99.8
927,100.2
928,99.8
935,99.8
936,100.2
943,100.5
944,99.5
951,100.3
952,99.7
959,99.6
960,100.4
967,99.7
968,100.3
975,99.5
976,100.5
983,99.7
984,100.3
991,100
992,100
999,99.4
1000,100.6
1007,99.9
1008,100.1
1015,99.9
1016,100.1
1023,99.8
1024,100.2
1031,99.7
1032,100.3
1039,99.5
1040,100.5
1056,99.7
1057,100.3
1064,100
1065,100
1072,99.7
1073,100.3
1080,99.6
1081,100.4
1088,100.5
1089,99.5
1096,100.2
1097,99.8
1104,99.6
1105,100.4
1112,100.1
1113,99.9
1119,99.9
1120,100.1
1127,100.2
1128,99.8
1135,99.6
1136,100.4
1143,99.7
1144,100.3
1153,100
1154,100
1159,98.1
1160,101.9
1165,98.9
1166,101.1
1171,94.2
1172,105.8
1177,95.9
1178,104.1
1183,100
1184,100
1188,97.6
1189,102.4
1194,99
1195,101
1201,100
1202,100
1207,97.3
1208,102.7
1213,100
1214,100
1219,100
1220,100
1225,97.7
1226,102.3
1231,89.6
1232,110.4
1237,93.7
1238,106.3
1243,95.1
1244,104.9
1249,101
1250,99
1255,90.1
1256,109.9
1261,101.1
1262,98.9
1267,99
1268,101
1273,95.8
1274,104.2
1279,96.1
1280,103.9
1285,100
1286,100
1291,98.9
1292,101.1
1297,97.4
1298,102.6
1303,101.1
1304,98.9
1309,98.4
1310,101.6
1315,98.2
1316,101.8
1321,98.4
1322,101.6
1327,96.1
1328,103.9
1333,96.3
1334,103.7
1339,95.5
1340,104.5
1345,97.1
1346,102.9
1351,96.2
1352,103.8
1357,78.4
1358,121.6
1363,100
1364,100
1369,99.6
1370,100.4
1375,96.5
1376,103.5
1381,98.8
1382,101.2
1387,96.1
1388,103.9
1393,100
1394,100
1399,94.7
1400,105.3
1405,101.1
1406,98.9
1411,100
1412,100
1417,98.3
1418,101.7
1423,96.4
1424,103.6
1429,97.8
1430,102.2
1435,100
1436,100
1441,95.8
1442,104.2
1447,98.4
1448,101.6
1453,101.5
1454,98.5
1458,94.1
1459,105.9
1464,99.4
1465,100.6
1469,95.2
1470,104.8
1474,95.7
1475,104.3
1480,97
1481,103
1486,96.1
1487,103.9
1492,98.9
1493,101.1
1498,92.5
1499,107.5
1504,93.1
1505,106.9
1510,95.3
1511,104.7
1516,98.8
1517,101.3
1522,91.2
1523,108.8
1528,96
1529,104
1535,100
1536,100
1540,97.6
1541,102.4
1546,98.2
1547,101.8
1552,98.1
1553,101.9
1558,101.1
1559,98.9
1564,100
1565,100
1570,96.6
1571,103.4
1576,95.7
1577,104.3
1584,99.4
1585,100.6
1590,94.6
1591,105.4
1596,99.5
1597,100.5
1602,90.2
1603,109.8
1609,96.5
1610,103.5
1615,94.8
1616,105.2
1621,103.1
1622,96.9
1627,105.6
1628,94.4
1633,97.1
1634,102.9
1639,97.5
1640,102.5
1645,97.3
1646,102.7
1651,96.5
1652,103.5
1657,97.9
1658,102.1
1663,97.2
1680,102.8
1668,94.2
1669,105.8
1674,99.5
1675,100.5
1681,97.7
1682,102.3
1687,96
1688,104
1693,96
1694,104
1699,100.6
1700,99.4
1705,97.5
1723,102.5
1708,94
1709,106
1714,101.6
1748,98.4
1718,94.4
1719,105.6
1726,104.9
1751,95.1
1731,106.8
1752,93.2
1736,95.2
1737,104.8
1742,87.6
1743,112.4
1753,95
1754,105
1758,92.5
1759,107.5
1764,99.2
1765,100.8
1770,99.3
1771,100.7
1776,97.2
1777,102.8
1782,97.2
1783,102.8
1788,97.5
1789,102.5
1794,96
1795,104
1800,95
1801,105
1806,97.3
1807,102.7
1812,100
1813,100
1818,99
1819,101
1824,95.5
1825,104.5
1830,101.5
1831,98.5
1836,97.6
1837,102.4
1842,96.4
1843,103.6
1848,102.9
1849,97.1
1854,102.5
1855,97.5
1860,99.4
1861,100.6
1866,97.5
1867,102.5
1872,99.3
1873,100.7
1878,98.3
1879,101.7
1974,95.4
1975,104.6
1886,98.6
1887,101.4
1892,99.4
1893,100.6
1898,96.3
1899,103.7
1904,101.7
1905,98.3
1910,108.3
1911,91.7
1916,95.7
1917,104.3
1922,89.7
1923,110.3
1928,95.3
1929,104.7
1934,91
1935,109
1940,97.8
1941,102.2
1946,100
1947,100
1952,95.5
1953,104.5
1957,108.2
1958,91.8
1962,98.8
1963,101.3
1968,115
1969,85
1981,94
1982,106
1987,92
1988,108
1993,95.7
1994,104.3
1999,93.5
2000,106.5
2005,100.4
2006,99.6
2011,98.1
2012,101.9
2017,96.6
2018,103.4
2023,97.9
2024,102.1
2029,96.3
2030,103.7
2035,99.5
2036,100.5
2043,100.4
2044,99.6
2051,96.6
2052,103.4
2059,96.6
2060,103.4
2066,96.1
2067,103.9
2073,97.1
2074,102.9
2080,93.8
2081,106.2
2088,95.1
2089,104.9
2096,97.4
2097,102.6
2104,97.2
2105,102.8
2112,99.7
2113,100.3
2120,98.6
2121,101.4
2128,98.4
2129,101.6
2137,99.1
2138,100.9
2143,98.4
2144,101.6
2151,97.5
2152,102.5
2159,98.5
2160,101.5
2167,99.1
2168,100.9
2175,98.7
2176,101.3
2183,100.4
2184,99.6
2191,100
2192,100
2199,99.3
2200,100.7
2207,100
2208,100
2215,96.1
2216,103.9
2223,97.2
2224,102.8
2231,96.5
2232,103.5
2239,96.7
2240,103.3
2247,98.9
2248,101.1
2255,97.4
2256,102.6
2263,100
2264,100
2271,96.6
2272,103.4
2279,97.3
2280,102.7
2287,97
2288,103
2295,97.2
2296,102.8
2303,99.4
2304,100.6
2311,100.2
2312,99.8
2319,99.5
2320,100.5
2327,99.5
2328,100.5
2335,99.5
2336,100.5
2343,100
2344,100
2351,98.8
2352,101.2
2359,99.4
2360,100.6
2367,99.8
2368,100.2
2375,100
2376,100
3,100.1
4,100.1
11,99.5
12,100.2
19,99.9
20,100.5
27,99.6
28,100.1
35,100
36,100.6
42,99.8
43,100.7
50,99.9
51,100.3
58,100.1
59,100.4
67,99.9
68,100.4
75,100.3
76,99.9
83,100.2
84,100
91,100.1
92,100.3
99,100.6
100,101
1151,100.3
1052,99.9
260,100.3
112,100.3
119,100.6
120,100.6
157,100.4
128,100.4
129,100.4
136,100.3
137,100.5
144,100.5
145,99.8
150,100.3
151,100.1
158,99.9
167,99.9
168,100.7
175,99.6
176,99.9
183,100.3
184,100.1
191,100.5
192,100
199,100.2
200,100.5
207,100.9
208,100.4
215,100.6
216,100.3
223,99.9
224,99.9
231,100.6
232,100.9
239,99.7
238,98.9
246,100.2
247,100.7
254,100.1
255,99.3
282,100
283,100.2
267,99.8
268,99.8
274,100.2
275,99.8
286,99.9
287,100.3
294,99.4
295,99.6
302,100
303,100.5
547,100.3
310,100.6
317,99.7
318,99.2
325,101.2
326,101
333,100.6
334,101.5
341,100.6
342,100.6
349,99.4
350,99.7
357,99.5
358,100.5
364,98.2
365,99.6
372,101.1
373,100.4
380,100.1
381,100.4
388,100
389,100
396,100.4
397,100.7
404,100.6
405,100.2
412,100.5
413,100.8
419,100.5
420,99.5
427,99.7
428,98.6
435,100.8
436,100.5
443,100.4
444,99.8
451,99.9
452,100.4
459,100
460,100.5
467,99.3
468,100.4
475,99.9
476,100.4
483,100.5
484,100.5
491,100.8
492,99.7
499,100.3
500,100.6
507,99.4
508,100.6
515,100.7
516,99.5
523,99.5
524,99.8
531,99.8
532,99.8
539,101
540,100.4
550,99.5
551,99.5
558,100.2
559,100
1047,99.9
1048,100.8
570,99.8
571,99.6
578,100.1
579,100.5
585,100.9
586,101.1
593,100
594,100.3
855,99.2
601,100
608,100.8
609,100.3
616,99.8
617,100.8
624,100.2
625,100.2
632,100.2
633,100.8
640,99.7
641,100.3
648,100.1
649,100.4
656,100.7
657,100.7
664,99.3
665,100.2
672,99.8
673,100.2
680,99.6
681,100
688,99.8
689,100
696,100
697,100.2
704,100.5
705,100.5
712,99.8
713,101.1
720,99.9
721,100.3
728,100.2
729,100.1
736,100
737,100.9
744,100.7
745,101.2
752,101.3
753,100.8
760,100.1
761,100.5
768,100.6
769,100.8
776,100.4
777,100.4
784,100
785,99.7
792,100.1
793,100.4
800,100.5
801,100.2
808,99.8
809,99.8
816,100.3
817,101.1
824,101
825,100.3
832,100
833,100.4
840,100.2
841,101.6
848,100.8
849,101.1
1054,100.7
1053,100.2
862,99.9
863,100.4
870,98.8
871,100.2
881,100.2
882,99.8
889,99.4
890,100.6
897,101.4
898,100.8
905,101.1
906,100.5
913,100.7
914,101.2
921,100.2
922,100.5
929,99.4
930,99.8
937,99.4
938,99.8
945,100.2
946,100.5
953,100
954,100
961,100.1
962,100.7
969,100.6
970,100.3
977,100.8
978,99.8
985,99.7
986,101.1
993,98.7
994,99.1
1001,99.7
1002,100
1009,100.6
1010,100.6
1017,100.9
1018,100.7
1025,99.8
1026,100.6
1033,99.7
1034,101.1
1041,100.5
1042,101.4
1058,99.3
1059,99.7
1066,100.5
1067,100.5
1074,100.5
1075,100.3
1082,100.1
1083,100.1
1090,100.5
1091,100.2
1098,100.4
1099,100.4
1106,100
1107,100.2
1152,100.5
1114,100.3
1121,101
1122,100.5
1129,100.9
1130,100.9
1137,99.6
1138,99.4
1145,100
1146,100.3
2037,101.7
2038,101.1
2045,99.3
2046,99.3
2053,103.7
2054,103.7
2061,104.3
2062,104.6
2068,103.1
2135,103.9
2075,103.8
2076,104.1
2082,106.6
2083,107.1
2090,104.5
2091,104.5
2098,101.7
2099,101.7
2106,103.6
2107,99
2114,100.9
2115,97.8
2122,98.6
2123,97.7
2130,99.7
2131,100.9
2139,101.6
2140,101.9
2145,100.2
2146,101.1
2153,103.2
2154,104
2161,102.5
2162,101
2169,100.4
2170,101.8
2177,100.4
2178,101.3
2185,98.4
2186,98.8
2193,101.2
2194,100.8
2201,100.7
2202,100.2
2209,100.5
2210,100.5
2217,104.8
2218,105.3
2225,102.8
2226,103.6
2233,103.1
2234,103.1
2241,104.7
2242,103.8
2249,101.1
2250,99.8
2257,103.4
2258,103.8
2265,101.6
2266,100.8
2273,104.2
2274,103.8
2281,103.7
2282,103.7
2289,102.7
2290,102
2297,103.5
2298,103.2
2305,99.8
2306,100.6
2313,100.9
2314,100.5
2321,99.8
2322,100.5
2329,101.1
2330,100.5
2337,100
2338,103.2
2345,100.4
2346,101.3
2353,98
2354,99.6
2361,100.6
2362,100
2369,99.4
2370,100.2
2377,98.9
2378,100
5,99.5
6,100.3
13,100
14,100
21,99.9
22,100.4
29,99.6
30,100.9
37,100.3
38,100.1
44,100.1
45,100.1
52,99.7
53,99.9
60,100.4
61,100.1
69,100.3
70,100.3
77,100.5
78,99.5
85,99.8
86,100
93,99.6
94,101
101,100.3
102,100.1
106,100.1
107,99.9
113,100.6
114,100.1
121,100
122,100
159,99.9
130,100.7
131,100.4
138,100.8
139,100.5
146,100.9
147,100.2
152,101.6
153,100.5
160,100.4
169,99.1
170,100.1
177,100.1
178,100.1
185,99.5
186,100.3
193,100
194,100.5
201,99.8
202,100.2
209,100.9
210,100.4
217,100.9
218,100.9
225,100.4
226,100.1
233,101.4
234,101.2
241,100.5
240,100.8
248,100.5
249,101.9
256,101.1
257,100.7
261,100
262,100.2
269,100.6
270,100.5
276,100.6
277,100.2
288,100.3
289,100.3
296,100.4
297,100
304,100.7
305,100.5
311,99.7
312,100.3
319,98.9
320,99.5
327,100.8
328,101.2
335,100.2
336,101.9
343,100
344,101.1
351,99.2
352,99.9
359,100
360,99.5
366,99.3
367,100
374,100.6
375,100.6
382,100.1
383,99.1
390,100
391,100.4
398,101
399,100.5
406,100.2
407,100.6
414,100.2
415,101.1
421,100.3
422,100.7
429,99.7
430,99.7
437,99.2
438,100.3
445,100.4
446,100.4
453,99.6
454,99.6
461,100.7
462,100.5
469,100.2
470,100
477,100.4
478,100.4
485,100.5
486,100.5
493,101
494,100.1
501,98.9
502,100.6
509,99.4
510,100.6
517,100
518,100.7
525,99.3
526,100.2
533,100
534,100.7
541,101.2
542,100.8
552,100
553,99.5
560,100.7
561,100.5
1049,101.4
1050,101.4
572,99
573,99.8
580,100.3
581,100.9
587,100.7
588,100.7
595,100
596,100.6
602,99.2
603,98.4
610,100.5
611,101.6
618,99.8
619,100.5
626,100.5
627,100.5
634,100.4
635,100.4
642,99.7
643,99.7
650,100.4
651,100.5
658,100.5
659,101.1
666,98.9
667,100
674,100.2
675,99.6
682,100.7
683,100.2
690,100
691,99.8
698,100
699,100
706,101.3
707,100.6
714,101.1
715,100.5
722,100.1
723,100.1
730,100.1
731,100.5
738,100.5
739,101.4
746,100.9
747,100.7
754,101.3
755,101.5
762,100.3
763,100.3
770,100.8
771,100.3
778,100.9
779,100.6
786,99.7
787,99.7
794,99.6
795,100.9
802,101.5
803,101.2
810,98.9
811,100.8
818,100.8
819,101.1
826,100.5
827,101.3
834,99.6
835,99.1
842,100.9
843,101.2
850,102.2
851,102
857,100.7
878,100.7
864,100.1
865,100.9
872,99.8
873,99.1
883,99.8
884,100.2
891,100.4
892,100.1
899,101
900,102.1
907,99.5
908,100.2
915,100.7
916,100.7
923,101.8
924,100.9
931,100.2
932,100.2
939,99.4
940,99.8
947,99.5
948,99.5
955,100.7
956,100.7
963,99.6
964,100.7
971,100.9
972,100.6
979,98.6
980,100.8
987,99.4
988,99.7
995,99.3
996,98.7
1003,99.7
1004,99.7
1011,99.6
1012,100.1
1019,100.5
1020,99.9
1027,100.2
1028,100.6
1035,100
1036,100.3
1043,101.4
1044,101.2
1060,99
1061,99.7
1068,100
1069,100.5
1076,100.9
1077,100.7
1084,99.9
1085,100.1
1092,99.2
1093,100.5
1100,100.8
1101,100.8
1108,100.4
1109,100.2
1115,100.1
1116,100.5
1123,101
1124,100.3
1131,100.2
1132,101.3
1139,100.4
1140,100.6
1147,101.4
1148,100.9
1155,104.4
1156,100
1161,103.8
1162,100
1167,103.4
1168,105.7
1173,110.5
1174,110.5
1179,106.8
1180,106.8
1185,104.6
1186,109.2
1190,90.2
1191,97.6
1196,112.8
1197,106.9
1203,109.9
1204,101.4
1209,105.5
1210,108.2
1215,104.1
1216,104.1
1221,104.1
1222,108.2
1227,104.7
1228,95.3
1233,104.4
1234,110.4
1239,146.5
1240,139
1245,195.9
1246,189.4
1251,104.9
1252,101
1257,119.8
1258,109.9
1263,107.4
1264,108.4
1269,105.2
1270,107.3
1275,92.4
1276,95.8
1281,101.3
1282,101.3
1287,95.7
1288,108.6
1293,102.3
1294,100
1299,97.4
1300,100.9
1305,101.1
1306,102.2
1311,105.7
1312,102.6
1317,103.5
1318,101.8
1323,101.6
1324,100.8
1329,103.9
1330,105
1335,104.5
1336,102.9
1341,101.1
1342,102.2
1347,105.6
1348,104.9
1353,111.4
1354,102.5
1359,100
1360,121.6
1365,106.3
1366,100
1371,100.4
1372,100.4
1377,101.2
1378,100
1383,99.6
1384,98.8
1389,105.2
1390,103.9
1395,101.7
1396,100
1401,106.9
1402,99.2
1407,103.4
1408,107.9
1413,104.5
1414,109
1419,103.4
1420,108.5
1425,101.8
1426,108.9
1431,106.7
1432,106.7
1437,97.6
1438,95.2
1443,104.2
1444,101.4
1449,103.3
1450,104.9
1534,104.6
1455,106.2
1460,96
1461,94.1
1582,101.8
1466,105.4
1471,101.6
1583,98.4
1476,98.6
1477,101.4
1482,106.6
1483,104.2
1488,97.1
1489,102.9
1494,103.4
1495,103.4
1500,107.5
1501,103
1506,102.3
1507,102.3
1512,103
1513,104.7
1518,107.5
1519,102.5
1524,104.1
1525,104.1
1530,96
1531,90.7
1608,99
1537,100
1542,94.5
1543,92.9
1548,100
1549,98.2
1554,101.9
1555,104.4
1560,97.7
1561,100
1566,107.8
1567,105.9
1572,99.5
1573,97.6
1578,101.9
1579,104.3
1586,103.5
1587,103.5
1592,112.8
1593,110.3
1598,98.6
1599,99.5
1604,82.4
1605,78.4
1611,90.7
1612,93.9
1617,109.4
1618,108.4
1623,94.5
1624,93.3
1629,120
1630,115.9
1635,105.1
1636,103.7
1641,124.8
1642,124
1647,98.6
1648,100.7
1653,97.4
1654,91.2
1659,101.5
1660,103.2
1664,106.5
1665,104.6
1670,102.9
1671,97.1
1676,100.5
1677,97.4
1683,100.8
1684,106.8
1689,101.7
1690,102.9
1695,91.9
1696,100
1701,100.6
1702,96.1
1706,99.2
1724,101.7
1710,133.8
1711,139.9
1716,102.2
1715,98.4
1750,88.7
1720,94.4
1728,107
1727,101.3
1733,114.4
1732,108.3
1738,107.6
1739,107.6
1744,94.7
1745,107.1
1755,100
1756,101.9
1760,85
1761,89.3
1766,96.3
1767,100.3
1772,106
1773,111.4
1778,103.8
1779,104.8
1784,106.3
1785,104.2
1790,107.9
1791,106.9
1796,149.8
1797,152.2
1802,102.3
1803,106.5
1808,108.8
1809,105.7
1814,103.5
1815,102.2
1820,106.3
1821,109.7
1826,105.5
1827,107.9
1832,87.5
1833,98.5
1838,99.6
1839,100.4
1844,97.3
1845,110.9
1850,97.1
1851,91.4
1856,101.2
1857,97.5
1862,105.8
1863,104.5
1868,103.7
1961,97.5
1874,104.3
1875,102.9
1880,97.3
1881,101.7
1976,100.4
1977,98.8
1888,100.8
1889,89.2
1894,92.7
1895,94.3
1900,96.3
1901,90.9
1906,91.7
1907,98.3
1912,104.1
1913,95.9
1918,104.3
1919,102.6
1924,101.5
1925,95.6
1930,102.4
1931,114.2
1936,109
1937,103
1942,122.3
1943,108.9
1948,108.7
1949,104.3
1954,108.1
1955,106.3
1959,101.6
1979,98.4
1964,116.3
1965,101.3
1970,103.7
1971,85
1983,104.9
1984,111.7
1989,111.5
1990,107.1
1995,101.4
1996,104.7
2001,97.7
2002,103.4
2007,101.2
2008,99.6
2013,101
2014,101.4
2019,104.3
2020,103.4
2025,105.2
2026,105.7
2031,105.8
2032,104.8
2039,101.7
2040,101.7
2047,99.9
2048,100.4
2055,103.4
2056,103.7
2063,104.8
2064,104.8
2069,103.9
2070,105.1
2077,103.8
2078,104.1
2084,107.1
2085,107.1
2092,103
2093,102.2
2100,102
2101,100.8
2108,102.3
2109,101.5
2116,100.9
2117,100.3
2124,96.7
2125,97.2
2132,96.6
2133,97.8
2141,102.9
2142,102.6
2147,100.2
2148,99.3
2155,104
2156,103.6
2163,101
2164,101.5
2171,99.1
2172,100.4
2179,100
2180,100.9
2187,98.4
2188,98.4
2195,100
2196,100.4
2203,103.9
2204,102.5
2211,100.5
2212,100
2219,103.9
2220,104.8
2227,104
2228,104.4
2235,104.3
2236,104.7
2243,103.8
2244,106
2251,101.1
2252,102.8
2259,103.8
2260,102.2
2267,100.4
2268,99.2
2275,104.2
2276,104.2
2283,103.7
2284,103.1
2291,101.3
2292,101.3
2299,102.8
2300,102.5
2307,100.2
2308,100.6
2315,101.6
2316,100.9
2323,100.5
2324,101.3
2331,100.5
2332,101.6
2339,102.7
2340,102.7
2347,102.6
2348,103.4
2355,97.2
2356,99.6
2363,101.2
2364,101.2
2371,99.4
2372,99.4
2379,99.3
2380,98.9
7,100.3
8,100.5
15,99.7
16,100
23,99.7
24,100
31,101.2
32,100.4
39,100.7
64,100.4
46,99.8
47,100.1
54,99.7
55,99.7
62,99.9
63,100.4
71,101
72,100.9
79,100.1
80,100.3
87,100
88,99.8
95,100.1
96,100.7
1051,99.4
103,100.1
108,99.9
109,99.7
115,99.5
116,99.2
123,100
124,100.6
161,102.2
132,103.6
133,103.3
140,104.4
141,103.4
148,108.5
149,108.3
154,102.6
155,102.8
162,101.9
171,99.6
172,100.1
179,100.1
180,100.1
187,100.3
188,100.7
195,100.2
196,100.5
203,100.5
204,99.5
211,100.2
212,100
219,100.9
220,100.6
227,101.2
228,100.6
235,105.8
236,106
243,101.4
242,100.5
250,101.2
251,101.9
258,102.5
259,101.7
263,100.2
264,100.2
271,100.2
545,100.3
278,100.2
279,100.9
290,99.9
291,100.5
298,100
299,100.4
306,101.3
307,100.9
313,100.3
314,100.3
321,99.2
322,100.5
329,101.6
330,100.5
337,101.5
338,100.2
345,100.3
346,100.3
353,100.3
354,99.7
361,100
1055,100.5
368,99.6
369,100.4
376,100.4
377,100.6
384,99.4
385,100.1
392,99.8
393,99.8
400,100.2
401,100.8
408,99.8
409,100.2
416,100.8
417,100.5
423,99.9
424,100.5
431,100.3
432,98.6
439,100.8
440,101.8
447,100.6
448,100.2
455,99.6
456,99.6
463,100
464,100.7
471,99.6
472,99.8
479,99.9
480,100.4
487,100.2
488,101
495,100.6
496,100.1
503,100.6
504,99.7
511,99.4
512,100.3
519,99.5
520,99.8
527,99.8
528,100
535,100
536,100
543,96.2
544,95.3
554,100
555,101
562,100.5
563,100
566,101
567,100.1
574,98.5
575,99
856,100.3
582,100.1
589,100.9
590,99.8
597,99.4
598,100.8
604,100.5
605,100.3
612,99.9
613,100.8
620,100.5
621,100.2
628,99.5
629,100.2
636,100
637,100.4
644,100
645,100.3
652,100.2
653,100.7
660,100.7
661,100.7
668,99.8
669,100
676,100.4
677,100.4
684,101.8
685,101.6
692,100.5
693,100.2
700,100.3
701,100.7
708,103.3
709,103.6
716,100.8
717,101.4
724,100.5
725,100.3
732,100.1
733,100.2
740,101.4
741,100.5
748,101.2
749,101.2
756,102.9
757,102.7
764,100.3
765,100.7
772,101.2
773,101
780,102.2
781,101.7
788,99.1
789,99.7
796,100.4
797,101.7
804,102.9
805,102.2
812,98.9
813,99.8
820,101.6
821,99.5
828,102
829,102
836,99.6
837,100
844,100.5
845,101.2
852,101.3
853,100.8
859,101
858,101.2
866,100.1
867,100.4
874,99.5
875,100.5
885,98
886,99.8
893,100.6
894,101.2
901,102.3
902,102.1
909,100.2
